doc_id,title,language,source_pdf_name,local_pdf_path,license_or_use_note,allow_in_dataset,notes
arxiv_2602_14035v1,FloCA: Towards Faithful and Logically Consistent Flowchart Reasoning,en,2602_14035v1.pdf,data/private/journalmix_v1/source_pdfs/route_map_or_flow/2602_14035v1.pdf,arXiv:2602.14035v1 CC/author-license,yes,"bucket_hint=route_map_or_flow; query=abs:""flowchart"" OR abs:""process flow"" OR abs:""pipeline diagr"
arxiv_2503_06706v3,PFDial: A Structured Dialogue Instruction Fine-tuning Method Based on UML Flowcharts,en,2503_06706v3.pdf,data/private/journalmix_v1/source_pdfs/route_map_or_flow/2503_06706v3.pdf,arXiv:2503.06706v3 CC/author-license,yes,"bucket_hint=route_map_or_flow; query=abs:""flowchart"" OR abs:""process flow"" OR abs:""pipeline diagr"
arxiv_2506_01344v1,Follow the Flow: Fine-grained Flowchart Attribution with Neurosymbolic Agents,en,2506_01344v1.pdf,data/private/journalmix_v1/source_pdfs/route_map_or_flow/2506_01344v1.pdf,arXiv:2506.01344v1 CC/author-license,yes,"bucket_hint=route_map_or_flow; query=abs:""flowchart"" OR abs:""process flow"" OR abs:""pipeline diagr"
arxiv_2407_05183v2,FlowLearn: Evaluating Large Vision-Language Models on Flowchart Understanding,en,2407_05183v2.pdf,data/private/journalmix_v1/source_pdfs/route_map_or_flow/2407_05183v2.pdf,arXiv:2407.05183v2 CC/author-license,yes,"bucket_hint=route_map_or_flow; query=abs:""flowchart"" OR abs:""process flow"" OR abs:""pipeline diagr"
arxiv_1310_0306v1,Flexible Visual Quality Inspection in Discrete Manufacturing,en,1310_0306v1.pdf,data/private/journalmix_v1/source_pdfs/route_map_or_flow/1310_0306v1.pdf,arXiv:1310.0306v1 CC/author-license,yes,"bucket_hint=route_map_or_flow; query=abs:""flowchart"" OR abs:""process flow"" OR abs:""pipeline diagr"
arxiv_2602_04142v2,JSynFlow: Japanese Synthesised Flowchart Visual Question Answering Dataset built with Large Language Models,en,2602_04142v2.pdf,data/private/journalmix_v1/source_pdfs/route_map_or_flow/2602_04142v2.pdf,arXiv:2602.04142v2 CC/author-license,yes,"bucket_hint=route_map_or_flow; query=abs:""flowchart"" OR abs:""process flow"" OR abs:""pipeline diagr"
arxiv_2305_01323v3,Turning Flowchart into Dialog: Augmenting Flowchart-grounded Troubleshooting Dialogs via Synthetic Data Generation,en,2305_01323v3.pdf,data/private/journalmix_v1/source_pdfs/route_map_or_flow/2305_01323v3.pdf,arXiv:2305.01323v3 CC/author-license,yes,"bucket_hint=route_map_or_flow; query=abs:""flowchart"" OR abs:""process flow"" OR abs:""pipeline diagr"
arxiv_2506_02073v1,Flow2Code: Evaluating Large Language Models for Flowchart-based Code Generation Capability,en,2506_02073v1.pdf,data/private/journalmix_v1/source_pdfs/route_map_or_flow/2506_02073v1.pdf,arXiv:2506.02073v1 CC/author-license,yes,"bucket_hint=route_map_or_flow; query=abs:""flowchart"" OR abs:""process flow"" OR abs:""pipeline diagr"
arxiv_1710_02167v1,Light Field Retargeting for Multi-Panel Displays,en,1710_02167v1.pdf,data/private/journalmix_v1/source_pdfs/compound_multi_panel/1710_02167v1.pdf,arXiv:1710.02167v1 CC/author-license,yes,"bucket_hint=compound_multi_panel; query=abs:""subfigure"" OR abs:""multi-panel"" OR abs:""panel (a)"""
arxiv_2506_18900v1,Audit & Repair: An Agentic Framework for Consistent Story Visualization in Text-to-Image Diffusion Models,en,2506_18900v1.pdf,data/private/journalmix_v1/source_pdfs/compound_multi_panel/2506_18900v1.pdf,arXiv:2506.18900v1 CC/author-license,yes,"bucket_hint=compound_multi_panel; query=abs:""subfigure"" OR abs:""multi-panel"" OR abs:""panel (a)"""
arxiv_2101_09903v2,A Two-stage Framework for Compound Figure Separation,en,2101_09903v2.pdf,data/private/journalmix_v1/source_pdfs/compound_multi_panel/2101_09903v2.pdf,arXiv:2101.09903v2 CC/author-license,yes,"bucket_hint=compound_multi_panel; query=abs:""subfigure"" OR abs:""multi-panel"" OR abs:""panel (a)"""
